Oct 30 2012 3:17PM 。微博桌面特别关注送大奖。。
Dec 26 2012 9:49PM 变废为宝，低碳生活！。
Dec 26 2012 10:28PM 三国来了。
Dec 26 2012 10:34PM 三国来了。
Dec 27 2012 12:16AM 千军易得一将难求！。
Dec 27 2012 12:36AM 三国来了。
Dec 27 2012 7:35AM 变废为宝，低碳生活！。
Dec 27 2012 7:39AM 三国来了。
Dec 27 2012 7:44AM 三国来了。
Dec 27 2012 12:07PM 三国来了。
Dec 27 2012 12:59PM 三国来了。
Dec 27 2012 1:06PM 三国来了。
Dec 27 2012 6:04PM 三国来了。
Dec 27 2012 7:21PM 三国来了。
Dec 27 2012 7:46PM 变废为宝，低碳生活！。
Dec 27 2012 7:47PM 变废为宝，低碳生活！。
Dec 28 2012 7:41AM 三国来了。
Dec 28 2012 7:39AM 变废为宝，低碳生活！。
Dec 28 2012 8:43AM 变废为宝，低碳生活！。
Dec 28 2012 11:29AM 三国来了。
Dec 28 2012 11:34AM 变废为宝，低碳生活！。
Dec 28 2012 2:37PM 变废为宝，低碳生活！。
Dec 28 2012 4:18PM 变废为宝，低碳生活！。
Dec 28 2012 4:21PM 三国来了。
Dec 28 2012 5:24PM 变废为宝，低碳生活！。
Dec 28 2012 5:41PM 三国来了。
Dec 28 2012 5:59PM 千军易得一将难求！。
Dec 28 2012 5:59PM 千军易得一将难求！。
Dec 28 2012 8:26PM 千军易得一将难求！。
Dec 28 2012 9:44PM 三国来了。
Dec 29 2012 8:01AM 三国来了。
Dec 29 2012 9:00AM 变废为宝，低碳生活！。
Dec 29 2012 9:01AM 变废为宝，低碳生活！。
Dec 29 2012 9:53AM 虹桥枢纽。
Dec 29 2012 11:03AM 三国来了。
Dec 29 2012 12:49PM 外婆家(城站店)。
Dec 29 2012 12:53PM 三国来了。
Dec 29 2012 2:05PM 三国来了。
Dec 29 2012 2:04PM 三国来了。
Dec 29 2012 3:20PM 千军易得一将难求！。
Dec 29 2012 3:22PM 三国来了。
Dec 29 2012 4:21PM 变废为宝，低碳生活！。
Dec 29 2012 4:30PM 千军易得一将难求！。
Dec 29 2012 5:23PM 三国来了。
Dec 30 2012 9:44PM 華克山莊。
Jan 3 2013 12:40PM 麦当劳(临沂路店)。
Jan 8 2013 12:23PM 韩膳宫无限度店。
Jan 9 2013 12:30PM 和民居食屋(无限度店)。
Jan 14 2013 3:38PM 星巴克。
Jan 15 2013 12:00PM 肯德基。
Jan 15 2013 10:27PM 世博家园94弄A区。
Jan 18 2013 10:35PM 世博家园94弄A区。
Jan 21 2013 12:11PM 柳林路150号。
Feb 1 2013 1:04PM 好灶头。
Feb 1 2013 2:51PM 杨高南路成山路。
Feb 9 2013 4:59PM 世博家园94弄A区。
Feb 16 2013 12:23PM 世博家园94弄A区。
Feb 18 2013 9:29AM 麦当劳(上海广场餐厅)。
Feb 19 2013 9:33AM 星巴克。
Feb 20 2013 7:45PM 江边城外巫山烤全鱼(金陵东路店)。
Feb 22 2013 8:50PM 世博家园94弄A区。
Feb 23 2013 11:32AM 顺风大酒店(四平路店)。
Feb 25 2013 7:47PM 湘轩(日月光广场店)。
Feb 28 2013 12:58PM 阿姨奶茶专卖(云南南路店)。
Mar 1 2013 10:12AM 三国来了。
Mar 1 2013 10:11AM 三国来了。
Mar 1 2013 10:15AM 三国来了。
Mar 1 2013 10:38AM 千军易得一将难求！。
Mar 3 2013 8:24AM 同济大学(南校区)。
Mar 6 2013 8:26AM 三国来了。
Mar 12 2013 6:16PM 门口煎饼摊。
Apr 22 2013 8:56PM 我爱鱼头蒸。
May 2 2013 1:14PM 星巴克。
May 12 2013 6:32PM 世博家园94弄A区。
May 13 2013 1:50PM 新世界电影城。
May 20 2013 1:37PM 麦当劳(上海广场餐厅)。
May 25 2013 9:28AM 阿德哥鱼庄。
May 26 2013 8:17AM 同济大学(南校区)。
May 28 2013 12:56PM 卡地亚(香港广场店)。
Jun 1 2013 1:40PM 世博家园94弄A区。
Jun 2 2013 9:44AM 同济大学(南校区)。
Jun 2 2013 3:05PM 上海国际时尚中心。
Jun 2 2013 3:07PM 上海市园林学校。
Jun 4 2013 12:08PM 赛百味(太平洋淮海店)。
Jun 4 2013 12:10PM 久留米寿司(太平洋淮海店)。
Jun 6 2013 9:04PM 来一份。
Jun 9 2013 12:30PM 麦当劳(上海广场餐厅)。
Jun 19 2013 2:00PM 星巴克。
Jul 6 2013 11:24AM 干杯楼。
Jul 8 2013 12:42PM 老西门派出所。
Jul 16 2013 12:31PM 西班牙签证中心。
Jul 28 2013 2:19PM 上海消防总队卢湾中队嵩山支队。
Jul 28 2013 2:39PM 哈根达斯。
