Sep 26 2012 12:29PM 雪佛兰文洋4s店。
Feb 23 2013 7:17PM 食佳传奇火锅(羽山路店)。
Feb 25 2013 6:29PM 上海通用汽车八号停车场。
Mar 3 2013 5:57AM 上海通用汽车八号停车场。
Mar 4 2013 6:01AM 上海通用汽车八号停车场。
Mar 7 2013 11:08AM 合生城邦。
Mar 13 2013 11:19AM 摩休敦纳韩国年糕料理(日月光店)。
Mar 13 2013 6:36PM 外婆家(莘庄仲盛店)。
Mar 14 2013 1:07AM 合生城邦。
Mar 14 2013 6:17PM 辛香汇(漕溪路店)。
Mar 19 2013 7:29AM 合生城邦。
Mar 19 2013 5:46PM 霖•上海味道。
Mar 19 2013 10:45PM 合生城邦。
Mar 20 2013 3:04AM 合生城邦。
Mar 21 2013 9:58PM 合生城邦。
Mar 22 2013 10:11PM 合生城邦。
Mar 26 2013 8:30PM 新華小區641弄。
Mar 27 2013 8:28AM s20巨峰路下匝道。
Mar 28 2013 12:14AM 合生城邦。
Mar 29 2013 5:58AM 上海通用汽车八号停车场。
Mar 30 2013 6:50AM 长兴岛服务区。
Mar 30 2013 8:57AM 海门汤家镇。
Mar 30 2013 4:11PM 莫泰168。
Mar 31 2013 10:44AM 大洋港。
Mar 31 2013 12:40PM 杏花村大酒店。
Mar 31 2013 5:34PM 陆家庄(塘桥店)。
Mar 31 2013 8:15PM 复旦大学附属儿科医院(万源路新院)。
Mar 31 2013 10:23PM 复旦大学附属儿科医院(万源路新院)。
Apr 1 2013 12:16AM 合生城邦。
Apr 1 2013 2:31PM 复旦大学附属儿科医院(万源路新院)。
Apr 1 2013 7:50PM 合生城邦。
Apr 2 2013 3:59PM 复旦大学附属儿科医院(万源路新院)。
Apr 2 2013 9:52PM 合生城邦。
Apr 3 2013 8:28PM 复旦大学附属儿科医院(万源路新院)。
Apr 4 2013 11:43PM 合生城邦。
Apr 22 2013 6:21PM 无拘无束，引擎的轰鸣就是我的音乐；藐视规则，头发里的风就是我的追求！。
Apr 28 2013 3:42PM 新亚大酒店宴会厅。
Apr 30 2013 9:31PM 合生城邦。
May 1 2013 10:01AM 美兰湖奥特莱斯。
May 3 2013 8:46AM 上海通用汽车有限公司员工发展中心。
May 12 2013 1:48PM 闵行区第四幼儿园千代园区。
May 15 2013 6:30PM 上海通用汽车八号停车场。
May 22 2013 4:51PM 乐宁少儿英语仲盛校区。
Jun 4 2013 5:48AM 上海通用汽车八号停车场。
Jun 5 2013 4:45PM 乐宁少儿英语仲盛校区。
Jun 15 2013 3:56PM 上海儿童博物馆。
Jun 15 2013 5:46PM 杨小贤甜品。
Jun 16 2013 7:31PM 乐宁少儿英语仲盛校区。
Jun 16 2013 9:09PM 乐宁少儿英语仲盛校区。
Aug 28 2013 4:31PM 乐宁少儿英语仲盛校区。
Nov 9 2011 7:33PM 金粉世家。
Dec 1 2011 6:10AM 上海通用北厂车身车间。
Dec 2 2011 4:39AM 闵行公园。
Dec 4 2011 9:34AM 第五人民医院。
Dec 5 2011 8:36AM 第五人民医院。
Dec 5 2011 11:52AM 福佑商厦。
Dec 6 2011 12:22AM 重庆鸡公煲(鹤庆路店)。
Dec 6 2011 1:53AM 合生城邦。
Dec 8 2011 3:12AM 上海通用北厂车身车间。
Dec 10 2011 7:44AM 合生城邦。
Dec 11 2011 10:13PM 闵行丽都城。
Dec 12 2011 8:29PM e粥e烫。
Dec 12 2011 8:41PM 复旦大学附属儿科医院(万源路新院)。
Dec 13 2011 8:30PM 合生城邦。
Dec 17 2011 10:33PM 合生城邦。
Dec 19 2011 2:34AM 合生城邦。
Dec 19 2011 2:15PM 浦江花苑。
Dec 19 2011 3:49PM 闵行公园。
Dec 19 2011 5:41PM 上海通用北厂车身车间。
Dec 20 2011 5:53AM 上海通用汽车八号停车场。
Dec 20 2011 6:18PM 上海通用北厂车身车间。
Dec 21 2011 4:23PM @淘宝网跳蚤街。
Dec 23 2011 7:55AM 合生城邦。
Dec 24 2011 1:13AM 合生城邦。
Dec 25 2011 10:08AM 同济大学附属上海市肺科医院。
Dec 25 2011 11:19AM 吉普路仁德路。
Dec 25 2011 1:20PM 凯德·龙之梦购物中心(莘庄·闵行广场)。
Dec 28 2011 6:29PM 莘庄立交桥。
Dec 30 2011 4:02PM 工商银行浦江支行。
Dec 31 2011 7:24PM 合生城邦。
Dec 31 2011 9:18PM 合生城邦。
Jan 1 2012 4:16AM 合生城邦。
Jan 1 2012 4:40AM 闵行公园。
Jan 1 2012 7:32PM 欧尚(闵行店)。
Jan 1 2012 9:35PM 合生城邦。
Jan 1 2012 10:17PM 合生城邦。
Jan 2 2012 4:40AM 闵行公园。
Jan 2 2012 2:47PM 上海通用汽车八号停车场。与。
Jan 2 2012 4:48PM 兰坪二村。
Jan 2 2012 8:00PM 合生城邦。
Jan 3 2012 2:50PM 上海通用汽车八号停车场。
Jan 3 2012 5:32PM 闵行剧院。
Jan 3 2012 9:54PM 合生城邦。
Jan 4 2012 4:44AM 闵行公园。
Jan 4 2012 2:57PM 上海通用汽车八号停车场。
Jan 4 2012 4:31PM 麦当劳(江川店)。
Jan 4 2012 9:14PM 合生城邦。
Jan 5 2012 2:56PM 上海通用汽车八号停车场。
Jan 5 2012 3:50PM 凯德·龙之梦购物中心(莘庄·闵行广场)。
Jan 6 2012 7:44AM 上海通用汽车巨峰路1号门(北1)。
Jan 6 2012 7:39PM 合生城邦。
Jan 7 2012 5:37AM 上海通用绿色停车场。
Jan 7 2012 3:07PM 上海通用汽车八号停车场。
Jan 7 2012 3:55PM 顺风大酒店(四平路店)。
Jan 8 2012 4:40PM 欧尚(闵行店)。
Jan 8 2012 7:54PM 怡东大酒店中餐厅。
Jan 8 2012 10:05PM 合生城邦。与。
Jan 9 2012 8:09PM 闵行公园。
Jan 10 2012 6:29AM 上海通用北厂车身车间。与。
Jan 10 2012 8:02PM 闵行公园。
Jan 11 2012 6:58AM 上海通用汽车八号停车场。
Jan 12 2012 6:06PM 闵行剧院。
Jan 13 2012 7:25PM 麦当劳(江川店)。
Jan 14 2012 7:03PM 浦江花苑。
Jan 14 2012 8:18PM 闵行公园。
Jan 15 2012 12:55PM 上海沪华国际大酒店。
Jan 15 2012 12:54PM 沪华国际大酒店中餐厅。
Jan 15 2012 8:46PM 鲜芋仙(莘庄店)。
Jan 15 2012 10:55PM 合生城邦。
Jan 16 2012 8:03PM 麦当劳(闵行六亿伴店)。
Jan 17 2012 5:16PM 。。
Jan 17 2012 7:45PM 闵行公园。
Jan 18 2012 6:05PM 闵行剧院。
Jan 18 2012 7:56PM 麦当劳(江川店)。
Jan 20 2012 8:11AM 合生城邦。
Jan 20 2012 8:22PM 闵行公园。
Jan 21 2012 9:09AM 上海通用北厂车身车间。
Jan 21 2012 9:20AM 刘家村豆浆。
Jan 21 2012 6:38PM 兰坪二村。
Jan 22 2012 5:42AM 合生城邦。
Jan 22 2012 6:31AM 金平路地铁站。
Jan 22 2012 6:32AM 刘家村豆浆。
Jan 22 2012 7:40AM 天蟾京剧中心逸夫舞台。
Jan 22 2012 11:18AM 莲花路地铁站公交站。
Jan 22 2012 11:31AM 凯德·龙之梦购物中心(莘庄·闵行广场)。
Jan 22 2012 11:42AM 小杨生煎(莘庄龙之梦店)。
Jan 22 2012 12:17PM 星巴克。
Jan 22 2012 1:12PM 好乐迪量贩式KTV(莘庄龙之梦店)。
Jan 22 2012 9:51PM 合生城邦。
Jan 23 2012 7:19AM 合生城邦。
Jan 23 2012 10:44AM 肯德基。
Jan 23 2012 2:56PM 上海通用北厂车身车间。
Jan 24 2012 5:55AM 合生城邦。
Jan 24 2012 5:53AM 合生城邦。
Jan 24 2012 8:15PM 兰坪二村。
Jan 25 2012 11:57AM 天籁园。
Jan 25 2012 12:28PM 贵都新村。
Jan 25 2012 3:22PM 上海第一八佰伴新世纪商厦。
Jan 25 2012 4:06PM 峨海小区。
Jan 25 2012 7:03PM 南浦大桥站。
Jan 25 2012 8:14PM 合生城邦。
Jan 26 2012 6:33AM 合生城邦。
Jan 26 2012 7:49AM 上海通用北厂车身车间。
Jan 26 2012 11:57AM 通用北厂食堂。
Jan 27 2012 5:51AM 合生城邦。
Jan 27 2012 3:49PM 合生城邦。
Jan 27 2012 8:29PM 合生城邦。
Jan 28 2012 2:29PM 上海闵行区第四中学羽毛球馆。
Jan 30 2012 2:22AM 合生城邦。
Jan 30 2012 4:29PM 巴黎春天(浦建店)。
Jan 30 2012 5:17PM 潮汕源大酒店(浦东店)。
Jan 31 2012 2:01PM 文洋别克4S。
Feb 1 2012 1:17AM 合生城邦。
Feb 1 2012 6:19PM 合生城邦。
Feb 2 2012 12:22PM 合生城邦。
Feb 2 2012 10:53PM 合生城邦。
Feb 3 2012 12:04PM 闵行公园。
Feb 3 2012 10:42PM 上海通用汽车八号停车场。
Feb 4 2012 12:30PM 北桥地铁站。
Feb 4 2012 10:59PM 合生城邦。
Feb 5 2012 1:30PM 上海通用绿色停车场。
Feb 5 2012 10:21PM 上海通用汽车八号停车场。
Feb 5 2012 11:46PM 合生城邦。
Feb 6 2012 11:10AM 浦江花苑。
Feb 6 2012 12:04PM 闵行公园。
Feb 6 2012 10:38PM 上海通用汽车八号停车场。
Feb 7 2012 1:58AM 合生城邦。
Feb 7 2012 11:44AM 浦江花苑。
Feb 7 2012 12:02PM 闵行公园。
Feb 7 2012 2:02PM 上海通用北厂车身车间。
Feb 7 2012 10:46PM 上海通用汽车八号停车场。
Feb 8 2012 12:30AM 合生城邦。
Feb 8 2012 10:23AM 合生城邦。
Feb 8 2012 10:23PM 上海通用北厂车身车间。
Feb 9 2012 12:17AM 合生城邦。
Feb 9 2012 10:42AM 合生城邦。
Feb 9 2012 11:37AM 浦江花苑。
Feb 9 2012 12:14PM 闵行公园。
Feb 9 2012 10:43PM 上海通用汽车八号停车场。
Feb 10 2012 12:20AM 合生城邦。
Feb 10 2012 11:22AM 浦江花苑。
Feb 10 2012 12:11PM 闵行公园。
Feb 10 2012 10:50PM 上海通用汽车八号停车场。
Feb 11 2012 6:02PM 交大华联生活中心。
Feb 11 2012 6:45PM 曹胖子龙虾馆。与。
Feb 12 2012 1:44AM 合生城邦。
Feb 12 2012 11:01AM 合生城邦。
Feb 12 2012 10:59AM 惠特妮·休斯顿。
Feb 12 2012 12:12PM 闵行公园。
Feb 12 2012 2:03PM 上海通用北厂车身车间。
Feb 12 2012 10:43PM 上海通用汽车八号停车场。
Feb 13 2012 12:35AM 合生城邦。
Feb 13 2012 11:18AM 永泓酒店。
Feb 13 2012 6:38PM 通用北厂食堂。
Feb 14 2012 12:55AM 2012-2-14情人节。与。
Feb 14 2012 2:31AM 合生城邦。
Feb 14 2012 10:34AM 合生城邦。
Feb 14 2012 10:48AM 合生城邦。
Feb 14 2012 6:49PM 通用北厂食堂。
Feb 15 2012 12:15AM 合生城邦。与。
Feb 15 2012 10:54PM 上海通用汽车八号停车场。
Feb 16 2012 12:16AM 合生城邦。
Feb 16 2012 11:10AM 浦江花苑。
Feb 16 2012 10:50PM 上海通用汽车八号停车场。
Feb 17 2012 12:31AM 合生城邦。
Feb 17 2012 11:39AM 浦江花苑。
Feb 17 2012 10:51PM 上海通用汽车八号停车场。
Feb 18 2012 12:53AM 合生城邦。与。
Feb 18 2012 11:39AM 浦江花苑。
Feb 18 2012 10:46PM 上海通用汽车八号停车场。
Feb 19 2012 12:43AM 合生城邦。
Feb 19 2012 8:20AM 合生城邦。
Feb 19 2012 9:02AM 刘家村豆浆。
Feb 19 2012 10:33AM 新东方泡泡早教中心。
Feb 20 2012 4:31AM 闵行公园。
Feb 21 2012 7:57PM 合生城邦。
Feb 22 2012 2:56PM 上海通用汽车八号停车场。
Feb 23 2012 4:40AM 闵行公园。
Feb 23 2012 2:54PM 上海通用汽车八号停车场。
Feb 23 2012 7:39PM 合生城邦。与。
Feb 24 2012 4:35AM 闵行公园。
Feb 25 2012 8:01PM 合生城邦。
Feb 26 2012 6:34PM 欧尚(闵行店)。
Feb 27 2012 9:10PM 合生城邦。
Feb 28 2012 2:53PM 上海通用汽车八号停车场。
Feb 29 2012 6:17AM 上海通用汽车八号停车场。
Feb 29 2012 6:17AM 上海通用绿色停车场。
Mar 1 2012 4:35PM 闵行剧院。
Mar 1 2012 6:45PM 新华小区。
Mar 1 2012 7:48PM 合生城邦。
Mar 2 2012 4:40AM 闵行公园。
Mar 2 2012 8:15PM 合生城邦。
Mar 2 2012 8:16PM 狐外贸服饰量贩店。
Mar 3 2012 2:55PM 上海通用汽车八号停车场。
Mar 3 2012 5:16PM 柚子(虹桥店)。
Mar 4 2012 10:35AM 新东方泡泡早教中心。
Mar 4 2012 1:19PM 光大会展中心。
Mar 4 2012 4:36PM 第一妇婴保健院(长乐路总院)。
Mar 4 2012 6:38PM 曹胖子龙虾馆。
Mar 4 2012 8:46PM 鲜芋仙(莘庄店)。
Mar 4 2012 9:13PM 上影CGV(莘庄影城)。
Mar 5 2012 8:12PM 闵行公园。
Mar 7 2012 6:54AM 上海通用汽车八号停车场。
Mar 7 2012 9:13AM 合生城邦。
Mar 9 2012 5:59PM 闵行剧院。
Mar 10 2012 6:49AM 上海通用汽车八号停车场。
Mar 10 2012 9:26AM 合生城邦。
Mar 10 2012 7:52PM 闵行公园。
Mar 11 2012 6:17PM 浦江花苑。
Mar 12 2012 7:30PM 闵行公园。
Mar 13 2012 9:14AM 刘家村豆浆。
Mar 13 2012 7:25PM 闵行公园。
Mar 14 2012 6:45PM 海京阁。
Mar 14 2012 7:59PM 闵行公园。
Mar 15 2012 7:40PM 闵行公园。
Mar 15 2012 8:03PM 麦当劳(江川店)。
Mar 16 2012 7:42AM 合生城邦。
Mar 16 2012 7:55PM 闵行公园。
Mar 17 2012 7:46PM 闵行公园。
Mar 19 2012 9:52AM 上海市第五人民医院。
Mar 19 2012 10:20AM 工行浦江支行。
Mar 22 2012 12:05PM 闵行公园。
Mar 22 2012 10:49PM 上海通用汽车八号停车场。
Mar 23 2012 12:12AM e粥e烫。
Mar 23 2012 12:42AM 合生城邦。
Mar 23 2012 12:08PM 闵行公园。
Mar 24 2012 12:20AM e粥e烫。
Mar 24 2012 12:51AM 合生城邦。
Mar 24 2012 12:07PM 闵行公园。
Mar 24 2012 10:06PM 上海通用北厂车身车间。
Mar 26 2012 12:06AM e粥e烫。
Mar 26 2012 12:39AM 合生城邦。与。
Mar 27 2012 12:10PM 闵行公园。
Mar 28 2012 12:17AM 合生城邦。
Mar 28 2012 11:18PM 新疆烧烤王(广灵店)。
Mar 29 2012 3:04AM 合生城邦。
Mar 31 2012 12:24AM 合生城邦。
Apr 1 2012 12:17AM 合生城邦。
Apr 1 2012 10:01AM 闵行公园。
Apr 1 2012 2:30PM 国阳大厦新东方总部。
Apr 1 2012 6:53PM 合生城邦。
Apr 2 2012 2:33PM 上海通用汽车八号停车场。
Apr 5 2012 4:53PM 金平路步行街。
Apr 6 2012 4:25PM 张平造型设计(闵行店)。
Apr 6 2012 7:50PM 合生城邦。
Apr 7 2012 5:54PM 闵行剧院。
Apr 7 2012 7:31PM 合生城邦。
Apr 8 2012 1:46PM 上海通用北厂车身车间。
Apr 8 2012 2:33PM 上海通用汽车八号停车场。
Apr 8 2012 4:06PM 东川路地铁站。
Apr 10 2012 4:29PM 麦当劳(闵行六亿伴店)。
Apr 10 2012 6:53PM 曹胖子龙虾馆。
Apr 11 2012 6:38PM 千岛阳子专业推拿足浴中心(兰坪路店)。
Apr 11 2012 8:00PM 合生城邦。
Apr 13 2012 4:40AM 闵行公园。
Apr 13 2012 5:42PM 上海新东方学校(江川路校区)。
Apr 14 2012 10:35PM 合生城邦。
Apr 15 2012 12:17PM 紫竹滨江公园。
Apr 16 2012 3:27PM 闵行公园。
Apr 17 2012 5:27AM 上海通用北厂车身车间。
Apr 18 2012 2:38AM 合生城邦。
Apr 18 2012 8:43PM 合生城邦。
Apr 19 2012 3:22PM 上海浦东机场2号航站楼。
Apr 19 2012 3:36PM 上海浦东国际机场2号航站楼(出发)。
Apr 19 2012 4:57PM 浦东机场T2停机坪。
Apr 20 2012 9:52PM サニーストンホテル。
Apr 21 2012 6:38AM 富士山脚下。
Apr 21 2012 7:42PM 富士山花园酒店。
Apr 22 2012 5:32AM 富士山花园酒店。
Apr 22 2012 6:32AM 富士山花园酒店。
Apr 22 2012 6:59AM 日本,山梨县,山中湖村,。
Apr 22 2012 6:36PM パールホテル茅場町。
Apr 23 2012 5:50AM パールホテル茅場町。
Apr 24 2012 5:28PM 浦东机场T2停机坪。
Apr 24 2012 11:56PM 合生城邦。
Apr 24 2012 11:58PM 合生城邦。
Apr 24 2012 11:59PM 合生城邦。
Apr 26 2012 9:21AM 合生城邦。
Apr 26 2012 7:37PM 合生城邦。与。
Apr 27 2012 3:39PM 闵行公园。
Apr 28 2012 3:59PM 闵行公园。
Apr 29 2012 5:24AM 上海通用北厂车身车间。
Apr 29 2012 7:43PM 上海通用北厂车身车间。
Apr 30 2012 10:15AM 浦江花苑。
Apr 30 2012 2:27PM 米其儿国际早教中心。
Apr 30 2012 3:00PM 米其儿国际早教中心。
Apr 30 2012 8:28PM 星巴克。
Apr 30 2012 11:25PM 合生城邦。
May 1 2012 12:17PM 浦江花苑。
May 1 2012 12:57PM 欧尚(闵行店)。
May 1 2012 8:57PM 上海通用北厂车身车间。
May 2 2012 1:01AM 合生城邦。
May 2 2012 5:29PM 聚汇盲人按摩养身会所。
May 2 2012 5:47PM 上海新东方学校(江川路校区)。
May 2 2012 7:24PM 聚汇盲人按摩养身会所。
May 2 2012 8:38PM 段氏龙虾。
May 2 2012 9:52PM 合生城邦。
May 2 2012 10:06PM 聚汇盲人按摩养身会所(签到1次)。
May 3 2012 4:39AM 闵行公园。
May 3 2012 8:20PM 合生城邦。
May 4 2012 4:42AM 闵行公园。
May 4 2012 8:17PM 合生城邦。
May 4 2012 10:03PM 合生城邦。
May 5 2012 5:39PM S32机场高速。
May 5 2012 6:14PM 全家福饭店。
May 5 2012 9:07PM 合生城邦。
May 6 2012 9:41PM 合生城邦。与。
May 7 2012 12:02AM 与@金枪鱼馅的汤圆。
May 7 2012 12:14AM 合生城邦。与。
May 7 2012 10:52AM 浦江花苑。
May 7 2012 4:48PM 浦江花苑。
May 7 2012 5:40PM 交大华联生活中心。
May 7 2012 6:25PM 沪华国际大酒店中餐厅。
May 7 2012 9:01PM 聚汇盲人按摩养身会所。
May 7 2012 10:30PM 段氏龙虾。
May 8 2012 12:30AM 合生城邦。
May 8 2012 7:30AM 合生城邦。
May 8 2012 8:51AM 红旗四街坊。
May 8 2012 9:37AM 合生城邦。
May 10 2012 4:37AM 上海通用汽车八号停车场。
May 11 2012 4:47AM 上海通用汽车八号停车场。
May 11 2012 6:36AM 合生城邦。
May 12 2012 11:24AM 合生城邦。
May 12 2012 12:03PM 合生城邦。
May 12 2012 12:54PM 张平造型设计(闵行店)。
May 12 2012 7:13PM 新旺茶餐厅(莘庄龙之梦店)。
May 12 2012 9:23PM 亚曼达量贩式KTV(莲花南路店)。
May 13 2012 9:11AM 合生城邦。
May 13 2012 11:54AM 花园酒家。与。
May 13 2012 3:18PM 闵行区。
May 13 2012 6:51PM 刘家村。
May 14 2012 9:47PM 聚汇盲人按摩养身会所。
May 15 2012 7:43PM 合生城邦。
May 20 2012 8:33PM 海上国际影城(莘庄龙之梦店)。
May 22 2012 10:23PM 上海通用北厂车身车间。
May 25 2012 5:05AM 风鼎食尚。
May 27 2012 8:33PM 浦东嘉里城(Kerry。
May 27 2012 10:17PM 上海通用北厂车身车间。
May 28 2012 2:55AM 合生城邦。
May 28 2012 12:26PM 平凉街道社区卫生服务中心。
May 28 2012 2:46PM 瑞金医院6号楼。
May 28 2012 7:30PM 合生城邦。
May 28 2012 7:30PM 聚汇盲人按摩养身会所。
May 29 2012 2:47PM 瑞金医院(总院)。
May 29 2012 5:00PM 瑞金医院6号楼。
May 29 2012 5:49PM 永和大王(瑞金二路店)。
May 30 2012 6:51AM 瑞金医院6号楼。
May 30 2012 6:45PM 合生城邦。
Jun 1 2012 6:02PM 永和大王(瑞金二路店)。
Jun 1 2012 6:34PM 瑞金医院6号楼。
Jun 2 2012 8:13PM 自由港量贩式KTV(闵行店)。
Jun 3 2012 12:21AM 合生城邦。
Jun 3 2012 12:43AM 合生城邦。
Jun 3 2012 7:13AM 合生城邦。
Jun 3 2012 8:52PM 聚汇盲人按摩养身会所。
Jun 5 2012 7:36AM 合生城邦。与。
Jun 6 2012 7:38AM 合生城邦。与。
Jun 8 2012 5:40AM 上海通用汽车八号停车场。
Jun 8 2012 8:56PM 合生城邦。
Jun 9 2012 7:54AM 合生城邦。
Jun 9 2012 10:23AM 复旦大学附属儿科医院(万源路新院)。
Jun 9 2012 12:17PM 吉旺港式茶餐厅(南方商城店)。
Jun 9 2012 3:52PM 浦江花苑。
Jun 10 2012 7:55PM 聚汇盲人按摩养身会所。
Jun 10 2012 8:55PM 后宅饭庄。
Jun 11 2012 8:00AM 上海通用北厂车身车间。
Jun 13 2012 10:45AM 上海通用北厂车身车间。
Jun 13 2012 8:02PM 合生城邦。
Jun 15 2012 12:38PM 瑞金医院(总院)。
Jun 15 2012 2:37PM 优衣库(日月光店)。
Jun 15 2012 11:30PM 当你在穿山越岭的另一边，我在孤独的路上没有终点。。
Jun 16 2012 8:31PM 合生城邦。
Jun 18 2012 4:46AM 上海通用汽车八号停车场。
Jun 18 2012 6:42AM 合生城邦。
Jun 22 2012 10:29AM 苏州江南农耕文化园。
Jun 22 2012 9:11PM 端午节快乐--领勋章。
Jun 22 2012 10:20PM 上影CGV(莘庄影城)。
Jun 28 2012 7:33AM 整理好友生日日历，以便在你们生日时第一时间送出我的祝福。
Jun 28 2012 9:17PM 徐汇新城。
Jun 28 2012 10:25PM 海宁路水蛇摊。
Jun 29 2012 7:55PM 肯德基。
Jul 3 2012 6:36AM 合生城邦。
Jul 7 2012 4:33PM 小竹里客栈。
Jul 7 2012 6:24PM 粤顺餐馆。
Jul 7 2012 6:32PM 粤顺餐馆。
Jul 7 2012 6:35PM 粤顺餐馆。
Jul 8 2012 12:37AM 烤汇儿。
Jul 8 2012 1:49AM 小竹里客栈。
Jul 8 2012 12:30PM 咬不得高祖生煎(文二店)。
Jul 17 2012 4:45AM 上海通用汽车八号停车场。
Jul 18 2012 9:55AM 合生城邦。
Jul 25 2012 1:49PM 合生城邦。
Jul 25 2012 11:07PM 合生城邦。与。
Jul 31 2012 12:51PM 哈米儿童畅想小镇。与。
Aug 1 2012 8:14AM 上海通用北厂车身车间。
Aug 7 2012 7:56PM 合生城邦。
Aug 8 2012 11:44AM 葵花台风。与。
Aug 8 2012 1:03PM 合生城邦。
Aug 9 2012 12:27PM 合生城邦。
Aug 17 2012 11:44PM 自由港量贩式KTV(闵行店)。与。
Aug 18 2012 12:21AM 自由港量贩式KTV(闵行店)。
Aug 19 2012 6:27PM 上海通用北厂车身车间。
Aug 20 2012 8:08PM 麦当劳(鑫都店)。
Aug 26 2012 7:14AM 合生城邦。
Aug 26 2012 9:00AM 复旦大学附属儿科医院(万源路新院)。
Aug 27 2012 5:48PM 上海通用汽车八号停车场。
Aug 31 2012 12:23PM 炫锅坊麻辣香锅(湘味馆)。
Aug 31 2012 7:16PM 金平路步行街。
Sep 1 2012 1:43AM 复旦大学附属儿科医院(万源路新院)。
Sep 1 2012 10:28AM 景川副食品有限公司。
Sep 7 2012 7:22AM 麦当劳(江川店)。
Sep 8 2012 10:03AM 上海市第五人民医院。
Sep 13 2012 1:45PM 安美途二手车(吴中路店)。
Sep 14 2012 2:52PM 合生城邦。
Sep 15 2012 11:44AM 順風大酒店。
