Dec 11 2012 7:22PM 凤城六村看到过这只狗。
Jun 20 2012 10:09AM 周家嘴路黄兴路。
Jun 20 2012 8:24PM 政通路118弄。
Jun 21 2012 7:33PM 巴黎贝甜(五角场店)。
Jun 22 2012 7:35AM 新华医院儿科。
Jun 22 2012 10:12AM 中国人民武装警察部队上海总队医院。
Jun 23 2012 9:40AM 政通路118弄。
Jun 23 2012 8:21PM 政通路118弄。
Jun 24 2012 6:34AM 政通路118弄。
Jun 24 2012 11:30AM 翠华餐厅(日月光店)。
Jun 24 2012 3:59PM 恒记甜品(353广场店内)。
Jun 24 2012 5:27PM 田子坊。
Jun 24 2012 5:29PM 人民公园游乐园。
Jun 25 2012 12:00PM 南京政治学院上海分院。
Jun 26 2012 7:47AM 中国邮政政本路邮政支局。
Jun 26 2012 6:34PM 政通路118弄。
Jun 27 2012 6:03AM 政通路118弄。
Jun 27 2012 9:51PM 政通路118弄。
Jun 28 2012 12:41PM 南京政治学院上海分院。
Jun 30 2012 10:34AM 上海国际体操中心游泳馆。
Jun 30 2012 7:39PM 十号线虹桥站。
Jul 1 2012 8:28AM 轨交十号线交通大学站。
Jul 2 2012 9:54AM 城建大厦。
Jul 2 2012 10:06AM 金通图文。
Jul 2 2012 7:26PM 大润发(杨浦店)。
Jul 3 2012 9:37PM 政通路118弄。
Jul 8 2012 5:43PM 新农庄(剑河路总店)。
Jul 14 2012 10:21AM 龙华殡仪馆。
Jul 14 2012 3:02PM 程桥二村。
Jul 14 2012 10:22PM 政通路118弄。
Aug 2 2012 7:47AM 新华医院内科病房。
Aug 2 2012 12:57PM 新华医院内科病房。
Sep 1 2012 9:24AM 上海第二工业大学普陀分校。
Sep 2 2012 8:23AM 江湾体育场。
Sep 7 2012 9:22AM G2沪宁高速。
Sep 7 2012 10:46AM 湖滨饭店。
Sep 7 2012 11:35AM 君来·湖滨饭店。
Sep 7 2012 12:47PM 苏兴记。
Sep 7 2012 3:25PM 华东疗养院。
Sep 8 2012 7:24AM 华东疗养院。
Sep 8 2012 9:39AM 蠡园。
Sep 8 2012 11:31AM 凯莱大酒店。
Sep 8 2012 2:39PM 外环曹安路出口。
Sep 9 2012 10:35AM 黄兴公园。
Sep 13 2012 10:01AM 上海市建筑建材业行政管理服务中心。
