Sep 24 2012 8:25AM 麦当劳(武宁路店)。
Apr 10 2012 6:01PM 窝里厢。
Apr 11 2012 7:46AM 沪太路灵石路。
Apr 12 2012 7:23AM 沪太路灵石路。
Apr 12 2012 9:54AM 月湖雕塑公园。与。
Apr 13 2012 11:35AM 沪太新村第一小学。今天学校迎接检查，忙到现在。签个到，歇一歇。
Apr 14 2012 12:35PM 窝里厢。
Apr 14 2012 1:00PM 桃浦十村。
Apr 15 2012 10:34AM 百联汽车中心。
Apr 15 2012 10:50AM 人哈多。
Apr 16 2012 12:15PM 沪太新村第一小学。
Apr 16 2012 2:26PM 长征中心小学。
Apr 16 2012 5:19PM 避风塘(我格广场店)。
Apr 16 2012 5:20PM 博纳银兴国际影城。
Apr 17 2012 7:00PM 窝里厢。
Apr 18 2012 7:44AM 沪太路灵石路。
Apr 18 2012 8:02AM 沪太新村第一小学。与。
Apr 18 2012 8:03AM 沪太新村第一小学。
Apr 19 2012 8:14AM 沪太新村第一小学。
Apr 19 2012 1:42PM 。沪太新村第一小学。
Apr 20 2012 7:40AM 沪太路灵石路。
Apr 21 2012 8:20AM G2京沪G42沪蓉高速嘉松公路收费站。
Apr 21 2012 9:06AM 青浦赵屯草莓基地。
Apr 21 2012 2:30PM 朱家角古镇。
Apr 21 2012 9:16PM 桃浦十村門口燒烤攤。
Apr 23 2012 7:46AM 沪太路灵石路。
Apr 23 2012 11:14AM 沪太新村第一小学。
Apr 25 2012 7:30AM 桃浦十村。
Apr 25 2012 11:31AM 沪太新村第一小学。天阴沉沉的，今天似乎穿少了。
Apr 25 2012 1:25PM 937新村路沪太路站。
Apr 25 2012 1:50PM 平利路第一小学。
Apr 26 2012 8:51AM 沪太新村第一小学。与。
Apr 27 2012 7:43AM 沪太路灵石路。
Apr 27 2012 9:40AM 沪太新村第一小学。
Apr 27 2012 6:16PM 泰煌火锅(普陀店)。与。
Apr 28 2012 7:49AM 沪太路灵石路。
Apr 29 2012 1:46PM 上海通用雪佛兰安吉名门汽车服务有限公司。
Apr 29 2012 2:47PM 长宁八八中心。
Apr 29 2012 7:03PM 王朝大酒店。
Apr 30 2012 10:55AM 桃浦十村。
May 1 2012 5:22PM 万湘缘村夫烤鱼。
May 2 2012 9:33AM 沪太新村第一小学。今天终于胜利完成任务，再也不用伺侯蚕宝宝了。
May 2 2012 2:01PM 甘泉街道办事处。
May 3 2012 9:41AM 沪太新村第一小学。
May 4 2012 6:16PM 窝里厢。
May 4 2012 8:26PM 麦德龙(普陀店)。
May 5 2012 2:21PM 华亭人家。
May 6 2012 7:32PM 桃浦十村。
May 7 2012 7:27AM 桃浦十村。
May 8 2012 4:43PM 巴黎春天(宝山店)。
May 9 2012 8:56AM 沪太新村第一小学。
May 9 2012 2:11PM 沪太新村第一小学。
May 10 2012 8:25PM 窝里厢。
May 11 2012 2:24PM 沪太新村第一小学。
May 11 2012 3:29PM 沪太新村第一小学。
May 12 2012 11:18AM 春光家园。吃吃喝喝，玩玩乐乐，还不忘下周一的公开课，手工制品完成啦。
May 12 2012 4:50PM 窝里厢。
May 13 2012 1:31PM 窝里厢。
May 14 2012 6:52PM 桃浦十村。
May 16 2012 7:59AM 桃浦新村地铁站。
May 16 2012 9:17AM 上海青年管理干部学院。
May 16 2012 6:55PM 桃浦十村。
May 17 2012 7:50AM 普陀区教育学院。
May 17 2012 2:50PM G50沪渝高速淀山湖服务区。
May 17 2012 2:51PM G50沪渝高速沪苏收费站。
May 17 2012 4:13PM 上海西站地铁站。
May 18 2012 10:27AM 召稼楼古镇。
May 20 2012 11:51AM 沪太新村第一小学。
May 21 2012 9:33PM Apple。
May 22 2012 12:02PM 永顺和苏州汤包馆(宜川路店)。
May 23 2012 11:16AM 沪太新村第一小学。
May 25 2012 9:18AM 新杨中学。
May 26 2012 6:32PM 岳阳飘湘楼(江苏路店)。
May 27 2012 8:58AM 窝里厢。
May 28 2012 2:23PM 沪太新村第一小学。
May 28 2012 9:26PM 桃浦十村門口燒烤攤。挡不住的诱惑，又有新的念想了，小龙虾，赞。
May 29 2012 8:05AM 沪太新村第一小学。与。
May 30 2012 11:06AM 沪太新村第一小学。
May 30 2012 2:08PM 沪太新村第一小学。
May 30 2012 4:46PM 甘甘车上。
May 31 2012 9:08AM 普陀区教育学院。
Jun 1 2012 12:15PM 窝里厢。
Jun 1 2012 6:46PM 火圣烤肉。
Jun 3 2012 3:15PM 窝里厢。
Jun 4 2012 10:43PM 窝里厢。
Jun 6 2012 7:50PM 桃浦十村門口燒烤攤。
Jun 7 2012 8:16AM 沪太新村第一小学。
Jun 7 2012 3:39PM 宜川中学附属学校。
Jun 7 2012 8:53PM 窝里厢。
Jun 8 2012 9:19PM 桃浦十村門口燒烤攤。
Jun 9 2012 11:25AM 靓女美甲。
Jun 9 2012 1:17PM 永琪美容美发(雪松路店)。
Jun 10 2012 10:12PM 窝里厢。
Jun 11 2012 2:10PM 沪太新村第一小学。与。
Jun 11 2012 4:00PM 普陀区教育学院。
Jun 11 2012 5:57PM 沃尔玛。
Jun 12 2012 12:10PM 沪太新村第一小学。
Jun 12 2012 7:06PM 桃浦六队-陈店村。
Jun 13 2012 11:18AM 沪太新村第一小学。
Jun 14 2012 8:57AM 普陀区教育学院。
Jun 14 2012 1:12PM 普陀区教育学院。
Jun 15 2012 3:42PM 沪太新村第一小学。与。
Jun 15 2012 8:46PM 桃浦十村。
Jun 16 2012 11:09AM 桃浦十村。与。
Jun 16 2012 2:06PM 老盛枫苏州汤包馆。与。
Jun 16 2012 2:29PM 豪大大鸡排。与。
Jun 16 2012 3:10PM 春光家园。与。
Jun 17 2012 6:44PM 窝里厢。
Jun 17 2012 9:44PM 窝里厢。
Jun 18 2012 1:36PM 沪太新村第一小学。
Jun 19 2012 11:51AM 沪太新村第一小学。
Jun 19 2012 11:34PM 窝里厢。
Jun 19 2012 11:31PM 桃浦十村。
Jun 20 2012 7:42AM 龙潭。
Jun 21 2012 7:51AM 麦当劳(桃浦店)。
Jun 21 2012 9:14PM 桃浦十村。
Jun 21 2012 9:18PM 桃浦十村門口燒烤攤。
Jun 22 2012 3:15PM 拿渡麻辣香锅。
Jun 24 2012 12:15PM 镇江锅盖面。
Jun 25 2012 7:16AM 普陀区中心医院。
Jun 25 2012 1:15PM 沪太新村第一小学。与。
Jun 26 2012 1:29PM 普陀区教育学院。
Jun 27 2012 9:25AM 沪太新村第一小学。
Jun 27 2012 2:27PM 靓女美甲。
Jun 27 2012 4:42PM 潮府酒家(广中西路店)。
Jun 28 2012 7:52AM 麦当劳(桃浦店)。
Jun 28 2012 10:03AM 普陀区教育学院。
Jun 28 2012 6:16PM 余记龙虾。
Jul 2 2012 8:08AM 普陀区青少年活动中心。
Jul 3 2012 8:43AM 普陀区青少年活动中心。
Jul 3 2012 12:34PM 必胜客(曹杨店)。
Jul 7 2012 10:09PM 窝里厢。
Jul 22 2012 6:52AM 上海虹桥国际机场T2航站楼。
Jul 23 2012 9:18AM 鹭江路轮渡。
Jul 23 2012 11:11AM 潘小莲芒果酸奶。
Jul 24 2012 8:25PM 厦门高崎国际机场。与。
Aug 8 2012 5:26PM 窝里厢。
